Id	Desc	FakeObjID	Name	Detail	Tips	SkillDescTips	SkillID	BossInfoTexture	TweenDelay	Duration
INT32	STRING	INT32	STRING	STRING	STRING	STRING	INT32	STRING	INT32	INT32
#										
#唯一ID，不可重复	描述，程序不读	本身像	名字	简介	boss特点Icon	特殊的技能描述	显示的技能	展示的贴图路径	动画播放延迟时间	图片保持时间持续时间
1	海神愚疆·阴（毒）	46	海神禺疆	持续伤害型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_76	标记·毒杀！#r每次攻击将使得敌方中毒，毒性印记叠加到4层后会被直接秒杀！冷却3回合	2022	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
2	海神愚疆·阳（火）	47	海神禺疆	攻击型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_78	狂暴·灼烧！#r攻击将使目标灼烧。进入狂暴状态后，将永久提升攻击力5%和暴击率5%！冷却4回合	2032	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
3	海神愚疆·衡（水）	39	海神禺疆	防御型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_77	秘技·水盾！#r水盾将包裹禺疆，可抵挡7次攻击。回合后若水盾未被打破，则召唤海浪造成伤害。	2002	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
4	海神愚疆·通（雷）	48	海神禺疆	控制型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_77	奥义·伤害反弹！#r召唤雷电护体1回合，期间将反弹伤害，同时自身防御力也将降低5回合。	2042	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
5	天枢贪狼·光（攻）	1136	天枢贪狼	上古不死BOSS！#r上古之时，贪狼星君为防止星宿之力被妖魔所劫，死守北斗天枢殿，与妖魔缠斗千年，最终在战斗中迷失自我，化身为守星魔狼，永世看守星宿之力	Common_78	必杀·摄心狼嚎！#r对敌方血量最少的角色连续怒吼，造成多段巨额伤害	2013	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
6	天枢贪狼·暗（防）	1137	天枢贪狼	上古杀戮BOSS！#r上古之时，贪狼星君为防止星宿之力被妖魔所劫，死守北斗天枢殿，与妖魔缠斗千年，最终在战斗中迷失自我，化身为守星魔狼，永世看守星宿之力	Common_76	必杀·摄心狼嚎！#r对敌方血量最少的角色连续怒吼，造成多段巨额伤害	2052	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
7	海神愚疆·阴（毒）	46	海神禺疆	持续伤害型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_76	标记·毒杀！#r每次攻击将使得敌方中毒，毒性印记叠加到3层后会被直接秒杀！冷却3回合	2022	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
8	海神愚疆·阴（毒）	46	海神禺疆	持续伤害型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_76	标记·毒杀！#r每次攻击将使得敌方中毒，毒性印记叠加到3层后会被直接秒杀！冷却2回合	2022	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
9	海神愚疆·阴（毒）	46	海神禺疆	持续伤害型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_76	标记·毒杀！#r每次攻击将使得敌方中毒，毒性印记叠加到3层后会被直接秒杀！冷却2回合	2022	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
10	海神愚疆·阴（毒）	46	海神禺疆	持续伤害型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_76	标记·毒杀！#r每次攻击将使得敌方中毒，毒性印记叠加到3层后会被直接秒杀！冷却2回合	2022	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
11	海神愚疆·阴（毒）	46	海神禺疆	持续伤害型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_76	标记·毒杀！#r每次攻击将使得敌方中毒，毒性印记叠加到3层后会被直接秒杀！冷却2回合	2022	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
12	海神愚疆·阴（毒）	46	海神禺疆	持续伤害型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_76	标记·毒杀！#r每次攻击将使得敌方中毒，毒性印记叠加到3层后会被直接秒杀！冷却2回合	2022	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
13	海神愚疆·阴（毒）	46	海神禺疆	持续伤害型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_76	标记·毒杀！#r每次攻击将使得敌方中毒，毒性印记叠加到3层后会被直接秒杀！冷却2回合	2022	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
14	海神愚疆·阴（毒）	46	海神禺疆	持续伤害型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_76	标记·毒杀！#r每次攻击将使得敌方中毒，毒性印记叠加到3层后会被直接秒杀！冷却2回合	2022	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
15	海神愚疆·阴（毒）	46	海神禺疆	持续伤害型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_76	标记·毒杀！#r每次攻击将使得敌方中毒，毒性印记叠加到3层后会被直接秒杀！冷却2回合	2022	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
16	海神愚疆·阳（火）	47	海神禺疆	攻击型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_78	狂暴·灼烧！#r攻击将使目标灼烧。进入狂暴状态后，将永久提升攻击力8%和暴击率8%！冷却4回合	2032	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
17	海神愚疆·阳（火）	47	海神禺疆	攻击型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_78	狂暴·灼烧！#r攻击将使目标灼烧。进入狂暴状态后，将永久提升攻击力10%和暴击率10%！冷却4回合	2032	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
18	海神愚疆·阳（火）	47	海神禺疆	攻击型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_78	狂暴·灼烧！#r攻击将使目标灼烧。进入狂暴状态后，将永久提升攻击力10%和暴击率10%！冷却3回合	2032	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
19	海神愚疆·阳（火）	47	海神禺疆	攻击型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_78	狂暴·灼烧！#r攻击将使目标灼烧。进入狂暴状态后，将永久提升攻击力12%和暴击率12%！冷却3回合	2032	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
20	海神愚疆·阳（火）	47	海神禺疆	攻击型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_78	狂暴·灼烧！#r攻击将使目标灼烧。进入狂暴状态后，将永久提升攻击力12%和暴击率12%！冷却3回合	2032	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
21	海神愚疆·阳（火）	47	海神禺疆	攻击型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_78	狂暴·灼烧！#r攻击将使目标灼烧。进入狂暴状态后，将永久提升攻击力14%和暴击率14%！冷却3回合	2032	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
22	海神愚疆·阳（火）	47	海神禺疆	攻击型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_78	狂暴·灼烧！#r攻击将使目标灼烧。进入狂暴状态后，将永久提升攻击力14%和暴击率14%！冷却3回合	2032	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
23	海神愚疆·阳（火）	47	海神禺疆	攻击型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_78	狂暴·灼烧！#r攻击将使目标灼烧。进入狂暴状态后，将永久提升攻击力14%和暴击率14%！冷却3回合	2032	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
24	海神愚疆·阳（火）	47	海神禺疆	攻击型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_78	狂暴·灼烧！#r攻击将使目标灼烧。进入狂暴状态后，将永久提升攻击力14%和暴击率14%！冷却2回合	2032	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
25	海神愚疆·衡（水）	39	海神禺疆	防御型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_77	秘技·水盾！#r水盾将包裹禺疆，可抵挡8次攻击。回合后若水盾未被打破，则召唤海浪造成伤害。	2002	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
26	海神愚疆·衡（水）	39	海神禺疆	防御型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_77	秘技·水盾！#r水盾将包裹禺疆，可抵挡9次攻击。回合后若水盾未被打破，则召唤海浪造成伤害。	2002	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
27	海神愚疆·衡（水）	39	海神禺疆	防御型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_77	秘技·水盾！#r水盾将包裹禺疆，可抵挡10次攻击。回合后若水盾未被打破，则召唤海浪造成伤害。	2002	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
28	海神愚疆·衡（水）	39	海神禺疆	防御型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_77	秘技·水盾！#r水盾将包裹禺疆，可抵挡11次攻击。回合后若水盾未被打破，则召唤海浪造成伤害。	2002	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
29	海神愚疆·衡（水）	39	海神禺疆	防御型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_77	秘技·水盾！#r水盾将包裹禺疆，可抵挡12次攻击。回合后若水盾未被打破，则召唤海浪造成伤害。	2002	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
30	海神愚疆·衡（水）	39	海神禺疆	防御型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_77	秘技·水盾！#r水盾将包裹禺疆，可抵挡13次攻击。回合后若水盾未被打破，则召唤海浪造成伤害。	2002	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
31	海神愚疆·衡（水）	39	海神禺疆	防御型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_77	秘技·水盾！#r水盾将包裹禺疆，可抵挡14次攻击。回合后若水盾未被打破，则召唤海浪造成伤害。	2002	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
32	海神愚疆·衡（水）	39	海神禺疆	防御型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_77	秘技·水盾！#r水盾将包裹禺疆，可抵挡15次攻击。回合后若水盾未被打破，则召唤海浪造成伤害。	2002	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
33	海神愚疆·衡（水）	39	海神禺疆	防御型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_77	秘技·水盾！#r水盾将包裹禺疆，可抵挡16次攻击。回合后若水盾未被打破，则召唤海浪造成伤害。	2002	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
34	海神愚疆·通（雷）	48	海神禺疆	控制型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_77	奥义·伤害反弹！#r召唤雷电护体1回合，期间将反弹伤害，同时自身防御力也将降低4回合。	2042	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
35	海神愚疆·通（雷）	48	海神禺疆	控制型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_77	奥义·伤害反弹！#r召唤雷电护体1回合，期间将反弹伤害，同时自身防御力也将降低3回合。	2042	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
36	海神愚疆·通（雷）	48	海神禺疆	控制型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_77	奥义·伤害反弹！#r召唤雷电护体1回合，期间将反弹伤害，同时自身防御力也将降低2回合。	2042	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
37	海神愚疆·通（雷）	48	海神禺疆	控制型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_77	奥义·伤害反弹！#r召唤雷电护体2回合，期间将反弹伤害，同时自身防御力也将降低4回合。	2042	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
38	海神愚疆·通（雷）	48	海神禺疆	控制型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_77	奥义·伤害反弹！#r召唤雷电护体2回合，期间将反弹伤害，同时自身防御力也将降低4回合。	2042	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
39	海神愚疆·通（雷）	48	海神禺疆	控制型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_77	奥义·伤害反弹！#r召唤雷电护体2回合，期间将反弹伤害，同时自身防御力也将降低4回合。	2042	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
40	海神愚疆·通（雷）	48	海神禺疆	控制型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_77	奥义·伤害反弹！#r召唤雷电护体2回合，期间将反弹伤害，同时自身防御力也将降低4回合。	2042	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
41	海神愚疆·通（雷）	48	海神禺疆	控制型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_77	奥义·伤害反弹！#r召唤雷电护体2回合，期间将反弹伤害，同时自身防御力也将降低3回合。	2042	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
42	海神愚疆·通（雷）	48	海神禺疆	控制型BOSS！#r上古之时，海神禺疆在神魔之战中为妖魔暗算侵蚀，变得凶戾残暴。随着时间流逝，盘踞在禺疆躯体内的魔气却纵横起来，将其魔化为可怕的妖兽。	Common_77	奥义·伤害反弹！#r召唤雷电护体2回合，期间将反弹伤害，同时自身防御力也将降低3回合。	2042	Texture/T_FuLingIcon/T_FuLingIcon_9	5	5
